_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry
715,0717,ISLINGTON AVE,None,ALBION RD,None,None,None,1958-01-31T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,715,907054,13452733,-1,,,,715,,,,,,,,None,"{""coordinates"": [[-79.56530499456332, 43.73723599656295]], ""type"": ""MultiPoint""}"
716,0718,REXDALE BLVD,None,BERGAMOT AVE,PRIVATE ACCESS,SEARS ACCESS,None,1968-07-08T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,716,30127833,13456371,,,,,716,,,,,,,,None,"{""coordinates"": [[-79.55968900139328, 43.713318003805156]], ""type"": ""MultiPoint""}"
717,0719,ELLESMERE RD,None,MORNINGSIDE AVE,None,None,None,1968-03-09T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,717,106555,13445039,1,,,,717,,,,2021-03-10T00:00:00,2021-03-10T00:00:00,2026-01-12T00:00:00,2026-01-12T00:00:00,None,"{""coordinates"": [[-79.1933420001643, 43.78534400238585]], ""type"": ""MultiPoint""}"
718,0720,EGLINTON AVE W,None,CASTLE KNOCK RD,None,None,None,1969-07-31T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,718,8192164,13457580,,,,,718,,,,,,,,None,"{""coordinates"": [[-79.41164499681327, 43.70393900276804]], ""type"": ""MultiPoint""}"
719,0721,WESTON RD,None,MCCORMACK ST,PRIVATE ACCESS,None,None,1969-09-18T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,719,10364900,13462466,,,,,719,,,,,,,,None,"{""coordinates"": [[-79.47190599937134, 43.677228003838984]], ""type"": ""MultiPoint""}"
720,0722,WARDEN AVE,None,BAMBURGH CRCL,None,None,SOUTH INTERSECTION,1984-07-23T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,720,3051494,13442440,1,,,,720,,,,2021-04-01T00:00:00,2021-04-01T00:00:00,2021-04-01T00:00:00,2021-04-01T00:00:00,None,"{""coordinates"": [[-79.3234139980005, 43.811635997383114]], ""type"": ""MultiPoint""}"
721,0723,ALBION RD,None,ELMHURST DR,None,None,None,1969-06-01T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,721,907562,13454501,,,,,721,,,,2024-07-12T00:00:00,2024-07-12T00:00:00,2024-07-12T00:00:00,2024-07-12T00:00:00,None,"{""coordinates"": [[-79.55056500545858, 43.725095997185356]], ""type"": ""MultiPoint""}"
722,0724,KIPLING AVE,None,NORTH QUEEN ST,PRIVATE ACCESS,None,None,1962-12-12T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,722,913296,13469594,,,,,722,,,,2023-03-28T00:00:00,2023-03-28T00:00:00,,,None,"{""coordinates"": [[-79.52855199773519, 43.62520699698455]], ""type"": ""MultiPoint""}"
723,0725,KIPLING AVE,None,NORSEMAN ST,None,None,None,1968-08-20T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,723,30069646,13469239,,,,,723,,,,2021-12-21T00:00:00,2021-12-21T00:00:00,2024-12-16T00:00:00,2024-12-16T00:00:00,None,"{""coordinates"": [[-79.5310689942604, 43.63148299612877]], ""type"": ""MultiPoint""}"
724,0726,KIPLING AVE,None,BURNHAMTHORPE RD,None,None,None,1960-09-25T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,724,911289,13466915,1,,,,724,,,,2024-12-16T00:00:00,2024-12-16T00:00:00,2024-12-16T00:00:00,2024-12-16T00:00:00,None,"{""coordinates"": [[-79.53939500210436, 43.65097699578197]], ""type"": ""MultiPoint""}"
725,0727,KIPLING AVE,None,RATHBURN RD,None,None,None,1963-10-29T23:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,725,8802578,13465491,,,,,725,,,,2024-12-02T00:00:00,2024-12-02T00:00:00,2024-12-02T00:00:00,2024-12-02T00:00:00,None,"{""coordinates"": [[-79.54322500156832, 43.659858003082654]], ""type"": ""MultiPoint""}"
726,0728,KIPLING AVE,None,PRINCESS MARGARET BLVD,None,None,None,1966-10-24T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,726,909927,13463854,,,,,726,,,,2023-04-19T00:00:00,2023-04-19T00:00:00,2023-04-19T00:00:00,2023-04-19T00:00:00,None,"{""coordinates"": [[-79.54775000146422, 43.67008100247961]], ""type"": ""MultiPoint""}"
727,0729,EGLINTON AVE W,None,KIPLING AVE,None,None,None,1962-01-01T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,727,30081740,13462655,1,,,,727,,,,,,,,None,"{""coordinates"": [[-79.55089099499664, 43.67717800168301]], ""type"": ""MultiPoint""}"
728,0730,KIPLING AVE,None,THE WESTWAY,None,None,None,1964-10-08T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,728,909281,13461140,1,,,,728,,,,2022-08-31T00:00:00,2022-08-31T00:00:00,2022-08-31T00:00:00,2022-08-31T00:00:00,None,"{""coordinates"": [[-79.55470300276434, 43.68562499855698]], ""type"": ""MultiPoint""}"
729,0731,KIPLING AVE,None,BELFIELD RD,None,None,HWY 409 WB OFF RAMP,1968-07-10T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,729,908217,13457759,,,,,729,,1,,2023-03-24T00:00:00,,,,"this is one of Kipling coordination study location. As per the management meeting on Feburary 14, 2023, we have decided to direct HDR to remove the proposed EW LPI at phase 8 due to the very low EW ped volumes and MTO signal.

2023-03-31: North LPI maintained to be in line with City's original LPI methodology, as per comment response provided on Feb 22, 2023. City staff approved and provided no additional comment on March 15, 2023.","{""coordinates"": [[-79.56348800379833, 43.70483299963094]], ""type"": ""MultiPoint""}"
730,0732,REXDALE BLVD,None,KIPLING AVE,None,None,None,1958-01-31T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,730,908092,13456668,1,,,,730,,,,,,,,None,"{""coordinates"": [[-79.56670199906847, 43.71170299950946]], ""type"": ""MultiPoint""}"
731,0733,KIPLING AVE,None,WESTHUMBER BLVD,BROOKMERE RD,None,WEST HUMBER,1965-08-19T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,731,907454,13454154,1,,,,731,,,,2019-12-05T00:00:00,2019-12-05T00:00:00,2020-10-08T00:00:00,2020-10-08T00:00:00,East & West: Crosswalk,"{""coordinates"": [[-79.57466000079037, 43.72813899865471]], ""type"": ""MultiPoint""}"
732,0734,ALBION RD,None,KIPLING AVE,None,None,None,1965-08-27T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,732,906946,13452362,,,,,732,,,,,,,,None,"{""coordinates"": [[-79.58040200283904, 43.73972399694324]], ""type"": ""MultiPoint""}"
733,0735,THE WEST MALL,None,EVANS AVE,WEST MALL S QEW X W RAMP,None,None,1963-12-13T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,733,914285,13470244,,,,,733,,,,,,,,None,"{""coordinates"": [[-79.55866500208764, 43.60835000248613]], ""type"": ""MultiPoint""}"
734,0736,LESLIE ST,None,TALWOOD DR,None,None,None,1970-11-13T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,734,442260,13451725,1,,,,734,,,,,,,,None,"{""coordinates"": [[-79.35743300210765, 43.74086000329312]], ""type"": ""MultiPoint""}"
735,0737,LESLIE ST,None,SOUTHWELL DR,DENLOW BLVD,None,None,1970-11-24T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,735,441581,13450874,1,,,,735,,,,,,,,None,"{""coordinates"": [[-79.35851900031068, 43.74598299787558]], ""type"": ""MultiPoint""}"
736,0738,LESLIE ST,None,BANNATYNE DR,PRIVATE ACCESS,None,None,1969-09-30T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,736,440067,13448991,,,,,736,,,,,,,,None,"{""coordinates"": [[-79.36126899603167, 43.75872100394101]], ""type"": ""MultiPoint""}"
737,0739,SHEPPARD AVE W,None,WILMINGTON AVE,FAYWOOD BLVD,None,None,1961-01-25T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,737,441100,13450069,1,,,,737,,,,2021-01-13T00:00:00,2021-01-13T00:00:00,2018-08-30T00:00:00,2018-08-30T00:00:00,North & South: Crosswalk,"{""coordinates"": [[-79.45191799825913, 43.75268799902049]], ""type"": ""MultiPoint""}"
738,0740,SHEPPARD AVE W,None,SENLAC RD,None,None,None,1966-08-18T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,738,440139,13449067,1,,,,738,,,,,,2020-02-28T00:00:00,2020-02-28T00:00:00,"North: Crosswalk, South: None","{""coordinates"": [[-79.42255900013268, 43.75895000388255]], ""type"": ""MultiPoint""}"
739,0741,SHEPPARD AVE E,None,WILLOWDALE AVE,None,None,None,1964-09-10T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,739,12047979,13448338,1,1,,,739,1,,,,,,,None,"{""coordinates"": [[-79.3996869988638, 43.76399599740419]], ""type"": ""MultiPoint""}"
740,0742,SHEPPARD AVE E,None,HAWKSBURY DR,REAN DR,None,None,1970-02-21T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,740,30113190,13447758,,,,,740,,,,2025-11-05T00:00:00,2025-11-05T00:00:00,2025-11-05T00:00:00,2025-11-05T00:00:00,None,"{""coordinates"": [[-79.38313899862331, 43.76780300424217]], ""type"": ""MultiPoint""}"
741,0743,SHEPPARD AVE E,None,BURBANK DR,BESSARION RD,None,None,1967-10-01T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,741,30105629,13447531,,,,,741,,,,2021-01-15T00:00:00,2021-01-15T00:00:00,2021-01-15T00:00:00,2021-01-15T00:00:00,None,"{""coordinates"": [[-79.37664800230009, 43.769198998155744]], ""type"": ""MultiPoint""}"
742,0744,SHEPPARD AVE E,None,LESLIE ST,None,None,None,1968-03-06T00:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,742,30044056,13447128,1,,,,742,,1,,2024-11-19T00:00:00,2024-11-19T00:00:00,2024-11-19T00:00:00,2024-11-19T00:00:00,None,"{""coordinates"": [[-79.36413600091454, 43.77164300252207]], ""type"": ""MultiPoint""}"
743,0745,SHEPPARD AVE E,None,SHAUGHNESSY BLVD,None,None,None,1966-12-16T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,743,438320,13446814,,,,,743,,,,,,,,None,"{""coordinates"": [[-79.35332299636715, 43.77372899757913]], ""type"": ""MultiPoint""}"
744,0746,SHEPPARD AVE E,None,FAIRVIEW MALL DR,None,None,HWY 404 W INTERSECTION,1958-11-18T00:00:00,SCATS,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,744,438091,13446468,1,,,,744,,,,,2024-10-23T00:00:00,,,None,"{""coordinates"": [[-79.34116899631732, 43.77621399697339]], ""type"": ""MultiPoint""}"
745,0747,SHEPPARD AVE E,None,404 N SHEPPARD AVE RAMP,YORKLAND RD,None,None,1980-01-01T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,745,438115,13446509,1,,,,745,,1,,2024-10-23T00:00:00,2024-10-23T00:00:00,2024-10-23T00:00:00,,None,"{""coordinates"": [[-79.3377519995262, 43.77583200375355]], ""type"": ""MultiPoint""}"
746,0748,SHEPPARD AVE E,None,VICTORIA PARK AVE,None,None,None,1955-11-25T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,746,10179994,13446551,1,1,,,746,,,,,,,,None,"{""coordinates"": [[-79.32301700059409, 43.77524399960849]], ""type"": ""MultiPoint""}"
747,0749,SHEPPARD AVE E,None,PHARMACY AVE,None,None,None,1966-02-22T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,747,7487869,13446373,1,,,,747,,,,2026-01-09T00:00:00,2026-01-09T00:00:00,2021-04-09T00:00:00,2021-04-09T00:00:00,Pedestrian crossing North/South on the East/West crosswalks have LPI implemented as part of 2020 Sheppard Ave East Signal Coordination Study,"{""coordinates"": [[-79.31776399661011, 43.77651399955815]], ""type"": ""MultiPoint""}"
748,0750,SHEPPARD AVE E,None,WARDEN AVE,None,None,None,1964-12-16T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,748,30113636,13446075,1,,,,748,,,,,,,,None,"{""coordinates"": [[-79.30790500278177, 43.778730996964256]], ""type"": ""MultiPoint""}"
749,0751,SHEPPARD AVE E,None,BIRCHMOUNT RD,None,None,None,1964-09-12T00:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,749,7471766,13445746,1,,1,,749,,,,,,,,None,"{""coordinates"": [[-79.29810599748798, 43.78105400259915]], ""type"": ""MultiPoint""}"
750,0752,KENNEDY RD,None,SHEPPARD AVE E,None,None,None,1958-01-31T00:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,750,9637988,13445476,1,,,,750,,,,2024-07-09T00:00:00,2024-07-09T00:00:00,2024-07-09T00:00:00,2024-07-09T00:00:00,None,"{""coordinates"": [[-79.28826299594877, 43.78328600204152]], ""type"": ""MultiPoint""}"
751,0753,LESLIE ST,None,401 C W LESLIE ST RAMP,None,ORIOLE GO STATION,HWY 401 NORTH INTERSECTION,1968-03-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,751,439087,13447810,,,1,,751,,1,,,,,,"LPI removed on April 21, 2023 due to issue with Pre-emption.","{""coordinates"": [[-79.36366300356313, 43.76723399831153]], ""type"": ""MultiPoint""}"
752,0754,LESLIE ST,None,401 C E LESLIE ST RAMP,LESMILL RD,None,HWY 401 SOUTH INTERSECTION,1989-12-10T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,752,439452,13448296,1,,,,752,,,,,,,,None,"{""coordinates"": [[-79.36191900105972, 43.76374300302477]], ""type"": ""MultiPoint""}"
753,0755,LESLIE ST,None,YORK MILLS RD,None,None,None,1965-02-15T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,753,30098397,13449822,1,,,,753,,,,2022-01-05T00:00:00,2022-01-05T00:00:00,2022-01-05T00:00:00,2022-01-05T00:00:00,None,"{""coordinates"": [[-79.35997000356146, 43.75295400249957]], ""type"": ""MultiPoint""}"
754,0756,YORK MILLS RD,None,DVP N YORK MILLS W RAMP,PRIVATE ACCESS,1200/1202 YORK MILLS RD,None,1967-03-29T23:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,754,439992,13448911,,,,,754,,1,,2023-12-19T00:00:00,2023-12-19T00:00:00,,,None,"{""coordinates"": [[-79.33406348640256, 43.75890017021327]], ""type"": ""MultiPoint""}"
755,0757,YORK MILLS RD,None,FENSIDE DR,None,None,None,1965-08-24T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,755,439731,13448645,1,,,,755,,,,2023-12-19T00:00:00,2023-12-19T00:00:00,,,None,"{""coordinates"": [[-79.32768499888982, 43.76066599995181]], ""type"": ""MultiPoint""}"
756,0758,VICTORIA PARK AVE,None,401 C W VICTORIA PR RAMP,None,None,HWY 401 NORTH INTERSECTION,1965-06-09T00:00:00,TransSuite,None,SAV,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,756,108375,13447360,,,,,756,,1,,,,,,None,"{""coordinates"": [[-79.32033499627698, 43.76952699978415]], ""type"": ""MultiPoint""}"
757,0759,VICTORIA PARK AVE,None,401 C E VICTORIA PR RAMP,None,None,HWY 401 SOUTH INTERSECTION,1966-06-17T00:00:00,TransSuite,None,SAV,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,757,439067,13447751,,,,,757,,1,,,,,,None,"{""coordinates"": [[-79.31917900004542, 43.7669249989411]], ""type"": ""MultiPoint""}"
758,0760,WARDEN AVE,None,401 C W WARDEN AV RAMP,None,None,HWY 401 NORTH INTERSECTION,1966-08-22T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,758,108096,13447007,1,,,,758,,1,,,,2023-03-30T00:00:00,2023-03-30T00:00:00,None,"{""coordinates"": [[-79.304698006175, 43.77162099902047]], ""type"": ""MultiPoint""}"
759,0761,WARDEN AVE,None,401 C E WARDEN AV S RAMP,None,None,HWY 401 SOUTH INTERSECTION,1968-07-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,759,108330,13447395,1,,,,759,,1,,,,,,None,"{""coordinates"": [[-79.30362999945663, 43.76908900339466]], ""type"": ""MultiPoint""}"
760,0762,BROWNS LINE,None,VALERMO DR,None,None,None,1965-07-27T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,760,914239,13470305,,,,,760,,,,2021-12-06T00:00:00,,2021-12-06T00:00:00,,None,"{""coordinates"": [[-79.5471350048376, 43.606024003478844]], ""type"": ""MultiPoint""}"
761,0763,BROWNS LINE,None,HORNER AVE,None,None,None,1960-08-04T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,761,11070075,13470438,1,,,,761,,,,2021-08-19T00:00:00,2021-08-19T00:00:00,,,LPI on north/south crosswalk.,"{""coordinates"": [[-79.54525399387602, 43.6016899966294]], ""type"": ""MultiPoint""}"
762,0764,KIPLING AVE,None,HORNER AVE,None,None,None,1962-06-27T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,762,8246672,13470261,,,,,762,,,,2023-04-27T00:00:00,2023-04-27T00:00:00,2024-08-01T00:00:00,2024-08-01T00:00:00,None,"{""coordinates"": [[-79.52075099763171, 43.607200996779675]], ""type"": ""MultiPoint""}"
763,0765,KIPLING AVE,None,EVANS AVE,None,None,None,1961-01-19T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,763,913880,13470006,,,,,763,,1,,2024-08-02T00:00:00,2024-08-02T00:00:00,2024-08-02T00:00:00,2024-08-02T00:00:00,None,"{""coordinates"": [[-79.52462800222237, 43.615872999051234]], ""type"": ""MultiPoint""}"
764,0766,LAKE SHORE BLVD W,None,TWENTY SEVENTH ST,None,None,None,1972-10-27T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,764,7632843,13470586,,,,,764,,,,2023-07-28T00:00:00,2023-07-28T00:00:00,2023-07-28T00:00:00,2023-07-28T00:00:00,2023 LPI Retainer Locations (ALL Directions),"{""coordinates"": [[-79.52499499915713, 43.59641800013427]], ""type"": ""MultiPoint""}"
765,0767,KIPLING AVE,None,BIRMINGHAM ST,None,None,None,1957-08-04T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,765,914456,13470456,,,,,765,,,,2023-03-28T00:00:00,2023-03-28T00:00:00,2023-03-28T00:00:00,2023-03-28T00:00:00,None,"{""coordinates"": [[-79.51802299392769, 43.600681999286465]], ""type"": ""MultiPoint""}"
766,0768,EGLINTON AVE E,18m EAST OF,HOYLE AVE,None,None,None,1984-08-15T00:00:00,TransSuite,None,PA - MPS,1.0 m/s (FDW based on full crossing @1.2m/s),None,2,766,1138183,13456432,,,,,766,,,,,,,,None,"{""coordinates"": [[-79.37964300441732, 43.71052599938114]], ""type"": ""MultiPoint""}"
767,0769,ST CLAIR AVE W,None,NORTHCLIFFE BLVD,None,None,None,1981-06-23T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,767,1140712,13462184,1,1,,,767,,,,,,2023-12-21T00:00:00,2023-12-21T00:00:00,"Vision Zero 
2023 SLR Retainer","{""coordinates"": [[-79.44085599424866, 43.67843499712705]], ""type"": ""MultiPoint""}"
768,0770,DWIGHT AVE,None,BIRMINGHAM ST,MURRIE ST,None,None,1964-05-15T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,768,914303,13470314,1,,,,768,,,,2022-05-30T00:00:00,2022-05-30T00:00:00,2022-05-30T00:00:00,2022-05-30T00:00:00,None,"{""coordinates"": [[-79.4990060016926, 43.60485599552839]], ""type"": ""MultiPoint""}"
769,0771,DWIGHT AVE,None,NEW TORONTO ST,STRUTHERS ST,None,None,1963-09-15T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,769,914124,13470230,,,,,769,,,,,,,,None,"{""coordinates"": [[-79.50036799410742, 43.608138001897906]], ""type"": ""MultiPoint""}"
770,0772,EGLINTON AVE W,None,WILLIAM R ALLEN RD S,PRIVATE ACCESS,POLICE DIVISION #13,WEST INTERSECTION,1976-08-09T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,770,10663283,13458434,1,,,,770,,,,,,,,None,"{""coordinates"": [[-79.43646100423312, 43.69868499816125]], ""type"": ""MultiPoint""}"
771,0773,ROYAL YORK RD,None,MIMICO AVE,None,None,None,1958-01-31T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,771,7883897,13470120,1,,,,771,,,,2019-10-24T00:00:00,2019-10-24T00:00:00,2023-12-19T00:00:00,2023-12-19T00:00:00,"East: Crosswalk, West: None","{""coordinates"": [[-79.49674999477311, 43.61223499982266]], ""type"": ""MultiPoint""}"
772,0774,EVANS AVE,None,HORNER AVE,None,None,None,1968-12-11T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,772,913717,13469971,,,,,772,,1,,2024-08-02T00:00:00,2024-08-02T00:00:00,2024-08-02T00:00:00,2024-08-02T00:00:00,None,"{""coordinates"": [[-79.51884600560705, 43.61699300131776]], ""type"": ""MultiPoint""}"
773,0775,ISLINGTON AVE,None,EVANS AVE,None,None,None,1968-12-11T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,773,913885,13469914,,,,,773,,1,,,,,,None,"{""coordinates"": [[-79.51132799447984, 43.618393002076374]], ""type"": ""MultiPoint""}"
774,0776,DUNDAS ST W,None,PRINCE EDWARD DR N,None,None,None,1963-02-08T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,774,30113585,13465297,1,,,,774,,,,,,2021-12-22T00:00:00,2021-12-22T00:00:00,None,"{""coordinates"": [[-79.510457003821, 43.66062900215686]], ""type"": ""MultiPoint""}"
775,0777,DUNDAS ST W,None,BURNHAMTHORPE RD,CORDOVA AVE,None,None,1959-06-04T00:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,775,3115737,13467261,1,,,,775,,,,2025-09-16T00:00:00,2025-09-16T00:00:00,2025-12-19T00:00:00,2025-12-19T00:00:00,None,"{""coordinates"": [[-79.52874900092746, 43.648770001415734]], ""type"": ""MultiPoint""}"
776,0778,DUNDAS ST W,None,SHAVER AVE S,SHORNCLIFFE RD,None,None,1962-11-26T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,776,8087218,13469211,,,,,776,,,,,,2020-10-08T00:00:00,2020-10-08T00:00:00,LPI implemented only for east & west crosswalks. LPI checkbox doesn't get checked unless date entered in for north or south crosswalk.,"{""coordinates"": [[-79.54470100148528, 43.6321199986147]], ""type"": ""MultiPoint""}"
777,0779,DUNDAS ST W,None,POPLAR AVE,SUBWAY CRES,None,None,1972-04-07T23:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,777,8087268,13468811,,,,,777,,,,2025-12-19T00:00:00,2025-12-19T00:00:00,2020-07-15T00:00:00,2020-07-15T00:00:00,None,"{""coordinates"": [[-79.54008800571413, 43.636108999675265]], ""type"": ""MultiPoint""}"
778,0780,LAWRENCE AVE W,None,THE WESTWAY,ROYAL YORK RD,None,None,1964-08-20T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,778,9383460,13459156,,,,,778,,,,,,,,None,"{""coordinates"": [[-79.53273799661004, 43.69616100177487]], ""type"": ""MultiPoint""}"
779,0781,EGLINTON AVE W,None,ROYAL YORK RD,None,None,None,1959-01-01T00:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,779,60009018,13461680,,1,,,779,,,,,,,,None,"{""coordinates"": [[-79.52660700321586, 43.682334004386576]], ""type"": ""MultiPoint""}"
780,0782,SCARLETT RD,None,EAST DR,PRIVATE ACCESS,APARTMENT BLDS. COMPLEX,None,1962-10-24T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,780,60006609,13462619,,,,,780,,,,2024-11-05T00:00:00,2024-11-05T00:00:00,,,None,"{""coordinates"": [[-79.50603600159899, 43.676838002149495]], ""type"": ""MultiPoint""}"
781,0783,SCARLETT RD,None,EDENBRIDGE DR,None,None,None,1968-11-19T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,781,11272883,13461916,,,,,781,,,,2024-11-05T00:00:00,2024-11-05T00:00:00,,,None,"{""coordinates"": [[-79.50885299787438, 43.68076600216102]], ""type"": ""MultiPoint""}"
782,0784,EGLINTON AVE W,None,SCARLETT RD,None,None,None,1970-11-27T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,782,909269,13461355,,,,,782,1,,,,,,,None,"{""coordinates"": [[-79.51145700434533, 43.68396200125346]], ""type"": ""MultiPoint""}"
